phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין,no,,
