phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מועד קטן,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי מעשרות,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סוטה,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי סנהדרין,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי עירובין,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ערלה,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי פסחים,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת,no,,
DRYRUN,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות,no,,
DRYRUN,PLAN_DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן,no,,
DRYRUN,ORPHAN,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא,no,,
DRYRUN,ORPHAN,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא,no,,
DRYRUN,ORPHAN,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא_links.json,שערי תורת בבל על בבא קמא,no,,
DRYRUN,ORPHAN,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה_links.json,שערי תורת בבל על ביצה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות_links.json,שערי תורת בבל על בכורות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות_links.json,שערי תורת בבל על ברכות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין_links.json,שערי תורת בבל על גיטין,no,,
